595, False, '2010', 'New Mexico'
596, True, '2010', 'Iowa'
597, False, '2010', 'Louisiana'
598, False, '2010', 'Alabama'
599, False, '2010', 'California'
600, False, '2010', 'California'
601, False, '2010', 'Maine'
602, False, '2010', 'Maine'
603, False, '2010', 'Invalid entry'
604, False, '2010', 'Invalid entry'
605, False, '2010', 'Alabama'
606, False, '2010', 'California'
607, False, '2010', 'California'
608, False, '2010', 'Kansas'
609, False, '2010', 'Kentucky'
610, False, '2009', 'North Carolina'
611, False, '2010', 'South Carolina'
628, False, '2009', 'Arizona'
629, False, '2010', 'California'
630, False, '2010', 'New York'
631, True, '2010', 'Kentucky'
632, False, '2010', 'Florida'
633, True, '2010', 'Michigan'
634, False, '2010', 'Indiana'
635, False, '2010', 'Illinois'
636, False, '2010', 'Illinois'
637, False, '2010', 'California'
638, True, '2010', 'Minnesota'
639, False, '2010', 'Arizona'
640, False, '2010', 'Washington'
641, False, '2010', 'Minnesota'
642, False, '2010', 'Arkansas'
643, False, '2010', 'Invalid entry'
644, False, '2010', 'Minnesota'
645, False, '2010', 'Minnesota'
646, False, '2010', 'Arkansas'
647, False, '2010', 'California'
648, False, '2010', 'California'
649, False, '2010', 'California'
650, False, '2010', 'New Jersey'
651, False, '2010', 'Alaska'
652, False, '2010', 'California'
653, False, '2010', 'California'
654, False, '2010', 'Alabama'
655, False, '2010', 'Alabama'
657, False, '2010', 'Alaska'
658, False, '2010', 'New York'
659, False, '2010', 'Connecticut'
660, False, '2010', 'Maine'
661, False, '2010', 'Illinois'
662, False, '2010', 'South Carolina'
663, False, '2010', 'Virginia'
664, False, '2010', 'California'
665, False, '2010', 'California'
666, False, '2010', 'California'
667, False, '2010', 'North Carolina'
683, False, '2010', 'Tennessee'
684, False, '2010', 'Kentucky'
685, True, '2010', 'Illinois'
686, False, '2010', 'California'
687, False, '2010', 'Illinois'
688, False, '2010', 'Arkansas'
689, False, '2010', 'Missouri'
690, False, '2010', 'Iowa'
691, False, '2010', 'Iowa'
692, False, '2010', 'Missouri'
693, False, '2010', 'Missouri'
694, False, '2010', 'Arkansas'
695, False, '2010', 'California'
696, False, '2010', 'California'
697, False, '2010', 'Montana'
698, False, '2010', 'Tennessee'
699, False, '2010', 'Delaware'
700, False, '2010', 'California'
701, False, '2010', 'California'
702, False, '2010', 'South Carolina'
703, False, '2010', 'New York'
704, False, '2010', 'New York'
705, False, '2010', 'Colorado'
706, False, '2010', 'Illinois'
707, False, '2010', 'Kansas'
708, False, '2010', 'New Jersey'
709, False, '2010', 'New Jersey'
710, False, '2010', 'California'
711, False, '2010', 'Pennsylvania'
712, False, '2010', 'Invalid entry'
713, False, '2010', 'New Jersey'
714, False, '2010', 'Virginia'
715, False, '2010', 'Virginia'
716, True, '2010', 'Virginia'
717, False, '2010', 'Virginia'
727, False, '2010', 'Michigan'
728, False, '2010', 'Ohio'
729, False, '2010', 'Georgia'
730, False, '2010', 'Kentucky'
731, True, '2010', 'Illinois'
732, False, '2010', 'Arkansas'
733, False, '2010', 'Indiana'
734, False, '2010', 'California'
735, False, '2010', 'Arkansas'
